speciesid,populationid,Species,Population/Stock,Status,Freshwater,Marine,HUC8,Basin Name,Default Run
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020103,Sacramento-Lower Thomes,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020104,Sacramento-Stone Corral,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020105,Lower Butte,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020106,Lower Feather,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020107,Lower Yuba,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020108,Lower Bear,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020109,Lower Sacramento,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020111,Lower American,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020112,Sacramento-Upper Clear,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020113,Cottonwood headwaters,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020114,Upper Elder-Upper Thomes,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020118,Upper Cow-Battle,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020120,Upper Butte,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020124,Honcut headwaters,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020119,Mill-Big Chico,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18020125,Upper Yuba,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18040001,Middle San Joaquin-Lower Chowchilla,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18040002,Middle San Joaquin-Lower Merced-Lower Stanislaus,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18040003,San Joaquin Delta,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18040004,Lower Calaveras-Mormon Slough,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18040006,Upper San Joaquin,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18040008,Upper Merced,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18040009,Upper Tuolumne,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18040010,Upper Stanislaus,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18050001,Suisun Bay,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18050002,San Pablo Bay,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18050004,San Francisco Bay,NULL
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,Yes,Yes,18050006,San Francisco Coastal South,NULL
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,Yes,Yes,18050006,San Francisco Coastal South,Mixed
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,Yes,Yes,17080002,Lewis,Mixed
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,Yes,Yes,17080005,Cowlitz,Mixed
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,Yes,Yes,17080004,Upper Cowlitz,Mixed
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,Yes,Yes,17080001,Lower Columbia-Sandy,Mixed
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,Yes,Yes,17070105,Middle Columbia-Hood,Mixed
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,Yes,Yes,17090012,Lower Willamette,Mixed
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,Yes,Yes,17080003,Lower Columbia-Clatskanie,Mixed
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,Yes,Yes,17080006,Lower Columbia,Mixed
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,Yes,Yes,17090011,Clackamas,Mixed
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020120,Upper Butte,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020125,Upper Yuba,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020124,Honcut headwaters,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020119,Mill-Big Chico,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020118,Upper Cow-Battle,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020114,Upper Elder-Upper Thomes,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020113,Cottonwood headwaters,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020112,Sacramento-Upper Clear,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020111,Lower American,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020109,Lower Sacramento,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020108,Lower Bear,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020107,Lower Yuba,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020106,Lower Feather,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020104,Sacramento-Stone Corral,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020105,Lower Butte,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020103,Sacramento-Lower Thomes,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020102,Lower Cottonwood,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18020101,Sacramento-Lower Cow-Lower Clear,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18050004,San Francisco Bay,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18050002,San Pablo Bay,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18050001,Suisun Bay,Winter
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,Yes,Yes,18050006,San Francisco Coastal South,Winter
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060107,Lower Snake-Tucannon,NULL
