Species,LifeStage,Production,abundance
Central Valley spring-run Chinook salmon,Adult,Listed Hatchery,2083
Central Valley spring-run Chinook salmon,Juvenile,Natural,1838954
Central Valley spring-run Chinook salmon,Juvenile,Listed Hatchery Adipose Clip,2000000
California Central Valley steelhead,Adult,Listed Hatchery and Natural Origin,11494
California Central Valley steelhead,Juvenile,Natural,1307442
California Central Valley steelhead,Juvenile,Listed Hatchery Adipose Clip,1050000
Central California Coast coho salmon,Adult,Listed Hatchery and Natural Origin,2308
Central California Coast coho salmon,Juvenile,Natural,161560
Central California Coast coho salmon,Juvenile,Listed Hatchery Intact Adipose,140000
Central California Coast steelhead,Adult,Listed Hatchery and Natural Origin,1906
Central California Coast steelhead,Juvenile,Natural,216808
Central California Coast steelhead,Juvenile,Listed Hatchery Adipose Clip,520000
South-Central California Coast steelhead,Adult,Listed Hatchery and Natural Origin,196
South-Central California Coast steelhead,Juvenile,Natural,22295
Southern California steelhead,Adult,Listed Hatchery and Natural Origin,0
Southern California steelhead,Juvenile,Natural,0
Southern DPS eulachon,Adult,Natural,26797375
Southern DPS green sturgeon,Adult,Natural,2127
Southern DPS green sturgeon,Subadult,Natural,11165
Southern DPS green sturgeon,Juvenile,Natural,4431
