speciesid,populationid,Species,Population/Stock,Status,HUC8,Basin Name
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18020125,Upper Yuba
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18040001,Middle San Joaquin-Lower Chowchilla
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18040002,Middle San Joaquin-Lower Merced-Lower Stanislaus
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18040003,San Joaquin Delta
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18040004,Lower Calaveras-Mormon Slough
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18040006,Upper San Joaquin
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18040008,Upper Merced
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18040009,Upper Tuolumne
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18040010,Upper Stanislaus
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18050001,Suisun Bay
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18050002,San Pablo Bay
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18050004,San Francisco Bay
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18050006,San Francisco Coastal South
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,17080002,Lewis
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,17080005,Cowlitz
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,17080004,Upper Cowlitz
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,17080001,Lower Columbia-Sandy
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,17070105,Middle Columbia-Hood
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,17090012,Lower Willamette
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,17080003,Lower Columbia-Clatskanie
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,17080006,Lower Columbia
1,101,"Salmon, Chinook",Lower Columbia River,NMFS Threatened,17090011,Clackamas
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110002,Strait Of Georgia
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110003,San Juan Islands
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110004,Nooksack
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110005,Upper Skagit
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110006,Sauk
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110007,Lower Skagit
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110008,Stillaguamish
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110009,Skykomish
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110010,Snoqualmie
